Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Latitude,Longitude,Average Annual Temperature
Dominican Republic,Latin America and Caribbean,5.540000000000001,0.07,5.68,5.4,9.8,8.5,66.1,8.6,3.7,7.1,2.43,1.11,0.88,0.56,0.58,0.1,0.14,2.18,19.0974031,-70.3028026,25
Northern Cyprus,Western Europe,5.540000000000001,0.05,5.64,5.44,10.58,8.2,73.9,8.0,5.1,6.3,2.43,1.38,0.81,0.8,0.5,0.2,0.2,1.65,35.2245313,33.6252379,18
Belarus,Commonwealth of Independent States,5.53,0.05,5.62,5.44,9.85,9.1,66.25,6.5,3.2,6.3,2.43,1.12,1.01,0.56,0.33,0.07,0.2,2.25,53.4250605,27.6971358,6
Russia,Commonwealth of Independent States,5.48,0.03,5.54,5.41,10.19,9.0,64.7,7.199999999999999,3.9000000000000004,8.4,2.43,1.24,0.99,0.51,0.41,0.12,0.06,2.15,61.524,105.3188,-5
Hong Kong S.A.R.,East Asia,5.48,0.05,5.57,5.38,11.0,8.4,76.82,7.199999999999999,5.700000000000001,4.0,2.43,1.52,0.84,0.89,0.41,0.23,0.34,1.24,34.668138,104.165802,7
Tajikistan,Commonwealth of Independent States,5.469999999999999,0.03,5.53,5.4,8.09,8.6,64.28,8.299999999999999,4.4,5.5,2.43,0.51,0.9,0.5,0.55,0.15,0.25,2.62,38.6281733,70.8156541,2
Vietnam,Southeast Asia,5.41,0.04,5.49,5.33,8.97,8.5,68.03,9.399999999999999,4.0,8.0,2.43,0.82,0.87,0.62,0.68,0.12,0.09,2.21,15.9266657,107.9650855,24
Libya,Middle East and North Africa,5.41,0.08,5.56,5.26,9.62,8.299999999999999,62.3,7.7,4.1000000000000005,6.7,2.43,1.04,0.82,0.44,0.47,0.13,0.17,2.33,26.8234472,18.1236723,22
Malaysia,Southeast Asia,5.380000000000001,0.05,5.48,5.29,10.24,8.2,67.1,9.0,6.2,8.4,2.43,1.26,0.8,0.59,0.62,0.27,0.06,1.78,4.10932,109.455475,25
Indonesia,Southeast Asia,5.34,0.06,5.45,5.24,9.36,8.100000000000001,62.24,8.7,10.4,8.7,2.43,0.95,0.79,0.43,0.6,0.54,0.05,1.99,-2.4833826,117.8902853,26
Republic of Congo,Sub-Saharan Africa,5.34,0.1,5.53,5.15,8.12,6.4,58.22,7.0,4.3,7.4,2.43,0.52,0.39,0.31,0.38,0.14,0.12,3.48,-0.7264327,15.6419155,24
China,East Asia,5.34,0.03,5.4,5.28,9.67,8.100000000000001,69.59,9.0,3.5,7.6,2.43,1.06,0.78,0.66,0.64,0.09,0.12,1.98,34.668138,104.165802,7
Ivory Coast,Sub-Saharan Africa,5.309999999999999,0.08,5.46,5.15,8.55,6.4,50.11,7.4,4.8,7.9,2.43,0.67,0.41,0.05,0.44,0.18,0.09,3.47,7.9897371,-5.5679458,26
Armenia,Commonwealth of Independent States,5.28,0.06,5.4,5.17,9.49,8.0,67.06,8.2,3.3,6.3,2.43,1.0,0.76,0.58,0.54,0.08,0.2,2.13,40.06618,45.111108,7
Nepal,South Asia,5.27,0.07,5.41,5.13,8.12,7.7,64.23,7.800000000000001,6.5,7.3,2.43,0.52,0.7,0.5,0.49,0.29,0.14,2.64,28.395056,84.127804,8
Bulgaria,Central and Eastern Europe,5.27,0.05,5.37,5.16,10.02,9.3,67.0,7.9,4.0,9.3,2.43,1.18,1.06,0.58,0.49,0.12,0.0,1.82,42.729862,25.491667,11
Maldives,South Asia,5.2,0.07,5.34,5.06,9.83,9.1,70.6,8.5,5.2,8.2,2.43,1.12,1.01,0.7,0.57,0.2,0.07,1.52,3.7203503,73.2244152,28
Azerbaijan,Commonwealth of Independent States,5.17,0.04,5.25,5.09,9.57,8.4,65.66,8.100000000000001,2.8000000000000003,5.1,2.43,1.02,0.84,0.54,0.53,0.04,0.28,1.92,40.3936294,47.7872508,12
